Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,Color
Analyse 4 MOUZOUN,02/12/2026,04:30 PM,02/12/2026,06:30 PM,False,Section 6 - Week 14,,False,Tomato
Analyse 4 MOUZOUN,02/13/2026,05:00 PM,02/13/2026,07:00 PM,False,Section 6 - Week 14,,False,Tomato
Analyse 4 MOUZOUN,02/19/2026,04:30 PM,02/19/2026,06:30 PM,False,Section 6 - Week 15,,False,Tomato
Analyse 4 MOUZOUN,02/20/2026,05:00 PM,02/20/2026,07:00 PM,False,Section 6 - Week 15,,False,Tomato
Analyse 4 MOUZOUN,02/26/2026,04:30 PM,02/26/2026,06:30 PM,False,Section 6 - Week 16,,False,Tomato
Analyse 4 MOUZOUN,02/27/2026,05:00 PM,02/27/2026,07:00 PM,False,Section 6 - Week 16,,False,Tomato
Analyse 4 MOUZOUN,03/05/2026,04:30 PM,03/05/2026,06:30 PM,False,Section 6 - Week 17,,False,Tomato
Analyse 4 MOUZOUN,03/06/2026,05:00 PM,03/06/2026,07:00 PM,False,Section 6 - Week 17,,False,Tomato
Analyse 4 MOUZOUN,03/12/2026,04:30 PM,03/12/2026,06:30 PM,False,Section 6 - Week 18,,False,Tomato
Analyse 4 MOUZOUN,03/13/2026,05:00 PM,03/13/2026,07:00 PM,False,Section 6 - Week 18,,False,Tomato
Analyse 4 MOUZOUN,03/26/2026,04:30 PM,03/26/2026,06:30 PM,False,Section 6 - Week 20,,False,Tomato
Analyse 4 MOUZOUN,03/27/2026,05:00 PM,03/27/2026,07:00 PM,False,Section 6 - Week 20,,False,Tomato
Analyse 4 MOUZOUN,04/09/2026,04:30 PM,04/09/2026,06:30 PM,False,Section 6 - Week 21,,False,Tomato
Analyse 4 MOUZOUN,04/10/2026,05:00 PM,04/10/2026,07:00 PM,False,Section 6 - Week 21,,False,Tomato
Analyse 4 MOUZOUN,04/16/2026,04:30 PM,04/16/2026,06:30 PM,False,Section 6 - Week 22,,False,Tomato
Analyse 4 MOUZOUN,04/17/2026,05:00 PM,04/17/2026,07:00 PM,False,Section 6 - Week 22,,False,Tomato
Analyse 4 MOUZOUN,04/23/2026,04:30 PM,04/23/2026,06:30 PM,False,Section 6 - Week 23,,False,Tomato
Analyse 4 MOUZOUN,04/24/2026,05:00 PM,04/24/2026,07:00 PM,False,Section 6 - Week 23,,False,Tomato
Analyse 4 MOUZOUN,04/30/2026,04:30 PM,04/30/2026,06:30 PM,False,Section 6 - Week 24,,False,Tomato
Analyse 4 MOUZOUN,05/14/2026,04:30 PM,05/14/2026,06:30 PM,False,Section 6 - Week 25,,False,Tomato
Analyse 4 MOUZOUN,05/15/2026,05:00 PM,05/15/2026,07:00 PM,False,Section 6 - Week 25,,False,Tomato
Analyse 4 MOUZOUN,05/19/2026,04:30 PM,05/19/2026,06:30 PM,False,Section 6 - Week 26,,False,Tomato
Analyse 4 MOUZOUN,05/21/2026,04:30 PM,05/21/2026,06:30 PM,False,Section 6 - Week 26,,False,Tomato
Analyse 4 MOUZOUN,05/22/2026,05:00 PM,05/22/2026,07:00 PM,False,Section 6 - Week 26,,False,Tomato
Progr avancée AHMADI,02/09/2026,10:30 AM,02/09/2026,12:30 PM,False,Section 6 - Week 14,,False,Flamingo
Progr avancée AHMADI,02/16/2026,10:30 AM,02/16/2026,12:30 PM,False,Section 6 - Week 15,,False,Flamingo
Progr avancée AHMADI,02/23/2026,10:30 AM,02/23/2026,12:30 PM,False,Section 6 - Week 16,,False,Flamingo
Progr avancée AHMADI,03/02/2026,10:30 AM,03/02/2026,12:30 PM,False,Section 6 - Week 17,,False,Flamingo
Progr avancée AHMADI,03/09/2026,10:30 AM,03/09/2026,12:30 PM,False,Section 6 - Week 18,,False,Flamingo
Progr avancée AHMADI,03/16/2026,10:30 AM,03/16/2026,12:30 PM,False,Section 6 - Week 19,,False,Flamingo
Progr avancée AHMADI,03/23/2026,10:30 AM,03/23/2026,12:30 PM,False,Section 6 - Week 20,,False,Flamingo
Progr avancée AHMADI,04/06/2026,10:30 AM,04/06/2026,12:30 PM,False,Section 6 - Week 21,,False,Flamingo
Progr avancée AHMADI,04/13/2026,10:30 AM,04/13/2026,12:30 PM,False,Section 6 - Week 22,,False,Flamingo
Progr avancée AHMADI,04/20/2026,10:30 AM,04/20/2026,12:30 PM,False,Section 6 - Week 23,,False,Flamingo
Progr avancée AHMADI,04/27/2026,10:30 AM,04/27/2026,12:30 PM,False,Section 6 - Week 24,,False,Flamingo
Progr avancée AHMADI,05/11/2026,10:30 AM,05/11/2026,12:30 PM,False,Section 6 - Week 25,,False,Flamingo
English for International,02/10/2026,02:30 PM,02/10/2026,04:30 PM,False,Section 6 - Week 14,,False,Tangerine
English for International,02/17/2026,02:30 PM,02/17/2026,04:30 PM,False,Section 6 - Week 15,,False,Tangerine
English for International,02/24/2026,02:30 PM,02/24/2026,04:30 PM,False,Section 6 - Week 16,,False,Tangerine
English for International,03/03/2026,02:30 PM,03/03/2026,04:30 PM,False,Section 6 - Week 17,,False,Tangerine
English for International,03/10/2026,02:30 PM,03/10/2026,04:30 PM,False,Section 6 - Week 18,,False,Tangerine
English for International,03/17/2026,02:30 PM,03/17/2026,04:30 PM,False,Section 6 - Week 19,,False,Tangerine
English for International,03/24/2026,02:30 PM,03/24/2026,04:30 PM,False,Section 6 - Week 20,,False,Tangerine
English for International,04/07/2026,02:30 PM,04/07/2026,04:30 PM,False,Section 6 - Week 21,,False,Tangerine
English for International,04/14/2026,02:30 PM,04/14/2026,04:30 PM,False,Section 6 - Week 22,,False,Tangerine
English for International,04/21/2026,02:30 PM,04/21/2026,04:30 PM,False,Section 6 - Week 23,,False,Tangerine
English for International,04/28/2026,02:30 PM,04/28/2026,04:30 PM,False,Section 6 - Week 24,,False,Tangerine
développement personnel BADIOUI,02/09/2026,02:30 PM,02/09/2026,04:30 PM,False,Section 6 - Week 14,,False,Banana
développement personnel,02/13/2026,10:30 AM,02/13/2026,12:30 PM,False,Section 6 - Week 14,,False,Banana
développement personnel BADIOUI,02/16/2026,02:30 PM,02/16/2026,04:30 PM,False,Section 6 - Week 15,,False,Banana
développement personnel,02/20/2026,10:30 AM,02/20/2026,12:30 PM,False,Section 6 - Week 15,,False,Banana
développement personnel BADIOUI,02/23/2026,02:30 PM,02/23/2026,04:30 PM,False,Section 6 - Week 16,,False,Banana
développement personnel,02/27/2026,10:30 AM,02/27/2026,12:30 PM,False,Section 6 - Week 16,,False,Banana
développement personnel,02/28/2026,03:00 PM,02/28/2026,05:00 PM,False,Section 6 - Week 16,,False,Banana
développement personnel,02/28/2026,05:00 PM,02/28/2026,07:00 PM,False,Section 6 - Week 16,,False,Banana
développement personnel BADIOUI,03/02/2026,02:30 PM,03/02/2026,04:30 PM,False,Section 6 - Week 17,,False,Banana
développement personnel,03/06/2026,10:30 AM,03/06/2026,12:30 PM,False,Section 6 - Week 17,,False,Banana
développement personnel,03/07/2026,03:00 PM,03/07/2026,05:00 PM,False,Section 6 - Week 17,,False,Banana
développement personnel,03/07/2026,05:00 PM,03/07/2026,07:00 PM,False,Section 6 - Week 17,,False,Banana
développement personnel BADIOUI,03/09/2026,02:30 PM,03/09/2026,04:30 PM,False,Section 6 - Week 18,,False,Banana
développement personnel,03/13/2026,10:30 AM,03/13/2026,12:30 PM,False,Section 6 - Week 18,,False,Banana
développement personnel,03/14/2026,03:00 PM,03/14/2026,05:00 PM,False,Section 6 - Week 18,,False,Banana
développement personnel BADIOUI,03/16/2026,02:30 PM,03/16/2026,04:30 PM,False,Section 6 - Week 19,,False,Banana
Elément de mach OUDRA,02/10/2026,08:30 AM,02/10/2026,12:30 PM,False,Section 6 - Week 14,,False,Sage
